epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,163.693,1.04051,0.97825,1.13343,0.26331,0.41452,0.21977,0.12436,1.57739,4.38211,1.62658,0.000823328,0.000823328,0.000823328
88,166.795,1.25957,1.00498,1.12563,0.31832,0.48548,0.33061,0.20429,1.56247,4.42074,1.64627,0.000825723,0.000825723,0.000825723
89,169.536,1.04272,0.81726,1.0732,0.31832,0.48548,0.33061,0.20429,1.56247,4.42074,1.64627,0.000827952,0.000827952,0.000827952
90,172.56,1.18459,0.86358,1.15983,0.39415,0.39461,0.35027,0.25035,1.54246,4.63274,1.66814,0.000830017,0.000830017,0.000830017
91,175.502,1.0677,0.87914,1.08579,0.39415,0.39461,0.35027,0.25035,1.54246,4.63274,1.66814,0.000831916,0.000831916,0.000831916
92,178.661,1.08019,0.88403,1.10665,0.46997,0.61878,0.53234,0.34736,1.48806,3.23533,1.51948,0.000833651,0.000833651,0.000833651
93,181.875,1.16209,0.90103,1.12114,0.46997,0.61878,0.53234,0.34736,1.48806,3.23533,1.51948,0.00083522,0.00083522,0.00083522
94,185.133,1.02735,0.88843,1.09759,0.55691,0.64339,0.61419,0.41409,1.39737,2.53696,1.51242,0.000836625,0.000836625,0.000836625
95,190.387,1.13389,0.95325,1.11255,0.55691,0.64339,0.61419,0.41409,1.39737,2.53696,1.51242,0.000837864,0.000837864,0.000837864
96,192.821,1.13024,1.01075,1.1417,0.57124,0.56533,0.54165,0.37327,1.40283,3.05948,1.47827,0.000838939,0.000838939,0.000838939
97,194.457,1.13576,0.88328,1.10531,0.57124,0.56533,0.54165,0.37327,1.40283,3.05948,1.47827,0.000839848,0.000839848,0.000839848
98,196.065,1.04005,0.83368,1.10362,0.43338,0.59235,0.49178,0.33131,1.42025,3.04634,1.47359,0.000840592,0.000840592,0.000840592
99,197.678,1.02397,0.8005,1.06373,0.43338,0.59235,0.49178,0.33131,1.42025,3.04634,1.47359,0.000841172,0.000841172,0.000841172
100,199.318,1.13449,0.84328,1.0764,0.39298,0.4827,0.3821,0.2481,1.49986,3.99441,1.54191,0.000841586,0.000841586,0.000841586
101,200.874,1.02608,0.78683,1.09699,0.39298,0.4827,0.3821,0.2481,1.49986,3.99441,1.54191,0.000841835,0.000841835,0.000841835
102,202.473,1.0923,0.836,1.12666,0.22787,0.45696,0.27376,0.17928,1.51333,4.54527,1.60227,0.000833583,0.000833583,0.000833583
103,204.067,1.14009,0.97188,1.1599,0.22787,0.45696,0.27376,0.17928,1.51333,4.54527,1.60227,0.000825332,0.000825332,0.000825332
